NFL Teams,Offensive Yards,Touchdowns,Deffensive Yards,Offensive Penalties,Defensive Penalties,Total Penalties,Offensive Turnovers,Defensive Takeaways,Takeaway Ratio,Playoff Chance
Kansas City Chiefs,409,3.56,354.1,6.22,5.89,12.11,0.67,1.56,0.89,0.99
Seattle Seahawks,415,4.5,455.8,5.13,5.63,10.76,1.38,1.75,0.37,0.93
Green Bay Packers,395.9,3.75,345.4,5.5,5,10.5,0.38,0.75,0.37,0.97
Tampa Bay Buccaneers,349,3.11,312.9,6,5.78,11.78,1.22,1.78,0.56,0.76
Tennessee Titans,374.6,3.33,398.1,5.44,6.56,12,0.44,1.56,1.12,0.67
New Orleans Saints,390.1,3.38,311.6,5.88,4.13,10.01,0.88,1.13,0.25,0.95
Atlanta Falcons,396.8,2.89,410,5.67,5.44,11.11,0.89,1.11,0.22,0.03
Buffalo Bills,377.3,3.11,364.9,6.56,5.67,12.23,1.22,1.56,0.34,0.90
Indianapolis Colts,368.2,2.33,290.4,5.89,5.22,11.11,1,1.44,0.44,0.73
Pittsburgh Steelers,341,3.38,317.4,5.38,6.38,11.76,1,1.88,0.88,0.99
Arizona Cardinals,422,3.63,370.1,7.75,6.88,14.63,1.25,1.25,0,0.55
Baltimore Ravens,347,2.75,324.9,6.38,4.38,10.76,1.25,1.75,0.5,0.96
San Francisco 49ers,374,3.11,324.7,5.78,5.44,11.22,1.44,1.11,-0.33,0.20
Miami Dolphins,322.9,2.63,384.3,4.75,5.38,10.13,1.13,1.75,0.62,0.55
Las Vegas Raiders,371.6,3,385.6,4.75,6,10.75,1.13,0.63,-0.5,0.57
Minnesota Vikings,382,3.51,412.9,5.38,5.13,10.51,1.5,1.13,-0.37,0.29
Carolina Panthers,369.2,2.44,361.8,6.44,6,12.44,1,1.33,0.33,0.03
Cleveland Browns,346.8,3,371.4,6,5.5,11.5,1.25,1.75,0.5,0.39
Los Angeles Chargers,420,2.88,358.5,5.25,6.25,11.5,1.25,0.88,-0.37,0.10
Dallas Cowboys,395,2.33,381.6,6.56,5.44,12,2.22,0.78,-1.44,0.10
Detroit Lions,359,2.76,392,5.75,6.25,12,1.13,0.88,-0.25,0.06
Cincinnati Bengals,361.9,2.51,400.9,6.5,6.63,13.13,1.25,1.13,-0.12,0.10
Houston Texans,368.4,2.76,415.8,4.13,3.75,7.88,1.13,0.63,-0.5,0.04
Los Angeles Rams,396.4,3.01,291.9,4.13,5,9.13,1.5,1.25,-0.25,0.70
Philadelphia Eagles,330,2.5,340.1,5.63,7.75,13.38,2.13,1.25,-0.88,0.75
Jacksonville Jaguars,350.5,2.63,418.1,5.88,5,10.88,1.38,0.88,-0.5,0.10
Chicago Bears,317.8,2,335.1,7,6.67,13.67,1.33,1,-0.33,0.53
Denver Broncos,336.6,2.26,360.4,5.13,6,11.13,2,1.13,-0.87,0.06
New York Giants,298.2,1.56,360,5.33,4.67,10,1.67,1.67,0,0.07
New England Patriots,361.9,2.01,352.9,3.25,5,8.25,1.88,1.75,-0.13,0.12
Washington Football Team,306.4,2.26,314.3,5,5.5,10.5,1.88,1.13,-0.75,0.09
New York Jets,266,1.11,402.7,6.44,7,13.44,1.11,1.11,0,0.00
